unix,date,symbol,open,high,low,close,vwap,Volume LINK,Volume USD,tradecount
1602201600,2020-10-09 00:00:00,LINK/USD,9.56488,10.54786,9.39000,10.41541,10.08005,794503.34241941,8275078.057668547,5219
1602115200,2020-10-08 00:00:00,LINK/USD,8.99849,9.66952,8.44001,9.55486,9.20423,656374.44433218,6271565.923171773,4285
1602028800,2020-10-07 00:00:00,LINK/USD,8.76649,9.00888,8.38267,8.97100,8.76343,351579.70857993,3154021.565670552,2749
1601942400,2020-10-06 00:00:00,LINK/USD,9.62857,9.66243,8.58000,8.76644,9.05900,502866.46872184,4408348.726061887,3536
1601856000,2020-10-05 00:00:00,LINK/USD,9.40000,9.70760,9.27513,9.61867,9.53997,314751.65784416,3027492.3287558863,1999
1601769600,2020-10-04 00:00:00,LINK/USD,9.27270,9.45743,9.11844,9.40088,9.25543,286930.99347059,2697403.8378978004,1669
1601683200,2020-10-03 00:00:00,LINK/USD,9.22614,9.55000,9.13000,9.27399,9.32076,275477.55058350,2554776.049335873,1669
1601596800,2020-10-02 00:00:00,LINK/USD,9.59387,9.82805,8.81125,9.21687,9.21106,865432.83688888,7976581.951336011,5070
1601510400,2020-10-01 00:00:00,LINK/USD,9.89919,10.42198,9.30240,9.64552,9.83461,567089.72425596,5469875.277105346,4361
1601424000,2020-09-30 00:00:00,LINK/USD,10.14693,10.21644,9.59000,9.87088,9.87128,397641.88702385,3925075.3497859803,2956
1601337600,2020-09-29 00:00:00,LINK/USD,10.72685,10.72685,10.72685,10.72685,0.00000,0.00000000,0.0,0
1601251200,2020-09-28 00:00:00,LINK/USD,10.72685,10.72685,10.72685,10.72685,0.00000,0.00000000,0.0,0
1601164800,2020-09-27 00:00:00,LINK/USD,10.72685,10.72685,10.72685,10.72685,0.00000,0.00000000,0.0,0
1601078400,2020-09-26 00:00:00,LINK/USD,10.72685,10.72685,10.72685,10.72685,0.00000,0.00000000,0.0,0
1600992000,2020-09-25 00:00:00,LINK/USD,9.87127,11.21640,9.38367,10.72685,10.31027,1115146.43551962,11962008.541853637,10355
1600905600,2020-09-24 00:00:00,LINK/USD,7.63954,10.49998,7.48008,9.87421,9.08129,1594276.09704466,15742216.980199352,13299
1600819200,2020-09-23 00:00:00,LINK/USD,8.74999,8.78790,7.31200,7.63320,8.02131,1219741.68629469,9310532.239824628,10276
1600732800,2020-09-22 00:00:00,LINK/USD,8.72674,9.06700,8.52711,8.74017,8.81195,460002.20456602,4020497.4682817915,4653
1600646400,2020-09-21 00:00:00,LINK/USD,9.72870,9.88982,8.55000,8.70255,8.93623,1210419.95275910,10533740.159883706,9555
1600560000,2020-09-20 00:00:00,LINK/USD,10.12527,10.61991,9.50711,9.73030,10.07390,410356.36717412,3992890.5595143395,4616
1600473600,2020-09-19 00:00:00,LINK/USD,10.09120,10.49970,9.89436,10.11297,10.17373,249363.71828628,2521807.802117601,2983
1600387200,2020-09-18 00:00:00,LINK/USD,11.01095,11.11703,9.79659,10.08650,10.38138,460780.35115537,4647661.011928639,4745
1600300800,2020-09-17 00:00:00,LINK/USD,10.74050,11.67089,10.52274,11.01085,10.91607,590981.20091252,6507205.356067621,6069
1600214400,2020-09-16 00:00:00,LINK/USD,10.95358,11.32894,10.50006,10.73137,10.87902,463337.36185340,4972244.664872722,4659
1600128000,2020-09-15 00:00:00,LINK/USD,12.13631,12.24021,10.77000,10.96170,11.59048,624108.88417869,6841294.355701547,5636
1600041600,2020-09-14 00:00:00,LINK/USD,12.04997,12.40467,11.65000,12.13097,12.06537,379860.29087330,4608073.792775276,3959
1599955200,2020-09-13 00:00:00,LINK/USD,12.71894,13.20258,11.76000,12.07570,12.29046,457684.01333892,5526854.839876796,5017
1599868800,2020-09-12 00:00:00,LINK/USD,12.44720,13.03000,12.10321,12.71728,12.44139,305402.23382091,3883885.720125982,3090
1599782400,2020-09-11 00:00:00,LINK/USD,12.51729,12.67500,12.03826,12.46783,12.39267,425136.62378620,5300531.152140298,4097
1599696000,2020-09-10 00:00:00,LINK/USD,12.35070,13.27500,12.20000,12.51968,12.80666,650806.65983190,8147891.122964242,5979
1599609600,2020-09-09 00:00:00,LINK/USD,11.73242,12.65200,11.45322,12.34586,12.19923,401713.89624380,4959503.52308048,4649
1599523200,2020-09-08 00:00:00,LINK/USD,12.48000,12.71289,11.05709,11.74998,11.85495,626619.97597928,7362772.18535702,6912
1599436800,2020-09-07 00:00:00,LINK/USD,12.79867,13.17137,11.12517,12.45831,12.23784,823606.52933772,10260745.460513411,9179
1599350400,2020-09-06 00:00:00,LINK/USD,10.54928,13.24000,9.74751,12.79867,11.72838,1134141.72316171,14515505.647978082,10317
1599264000,2020-09-05 00:00:00,LINK/USD,12.39749,12.73894,9.20000,10.59052,10.84032,1515351.08630138,16048355.986496491,15952
1599177600,2020-09-04 00:00:00,LINK/USD,11.90262,12.94656,11.02002,12.38171,12.13245,887541.48862915,10989281.325174432,10503
1599091200,2020-09-03 00:00:00,LINK/USD,14.81989,14.99201,11.02451,11.92804,13.18021,884771.68039176,10553591.994580127,10041
1599004800,2020-09-02 00:00:00,LINK/USD,16.04480,16.34491,14.02376,14.79151,15.01512,657511.41996038,9725586.74345816,6344
1598918400,2020-09-01 00:00:00,LINK/USD,15.58982,16.54486,15.11000,16.09845,15.94809,445582.73205073,7173191.332782074,5760
1598832000,2020-08-31 00:00:00,LINK/USD,16.50988,16.94000,15.51314,15.58965,16.33399,347472.04789762,5416967.611507132,4832
1598745600,2020-08-30 00:00:00,LINK/USD,16.39378,17.77795,16.37332,16.47938,17.15056,518741.27266255,8548534.553889772,7363
1598659200,2020-08-29 00:00:00,LINK/USD,15.13215,17.00000,14.98606,16.41729,16.24069,587920.93476736,9652068.483146831,7287
1598572800,2020-08-28 00:00:00,LINK/USD,14.52487,15.47230,14.27200,15.13482,15.02079,268506.67107602,4063800.135534769,3144
1598486400,2020-08-27 00:00:00,LINK/USD,15.24344,15.50000,14.04008,14.51227,14.79244,438054.97487712,6357172.070259982,5184
1598400000,2020-08-26 00:00:00,LINK/USD,14.11734,15.65000,14.04630,15.22512,14.96101,482539.68512509,7346724.61079171,5766
1598313600,2020-08-25 00:00:00,LINK/USD,15.15484,15.34876,13.51000,14.11734,14.34846,571013.19164099,8061187.370881014,6007
1598227200,2020-08-24 00:00:00,LINK/USD,15.05901,15.89064,14.71111,15.13373,15.22606,413170.48278688,6252810.530466289,3879
1598140800,2020-08-23 00:00:00,LINK/USD,15.88000,15.99103,14.66565,15.16863,15.17732,482401.20314153,7317365.362008706,4259
