unix,date,symbol,open,high,low,close,vwap,Volume LTC,Volume USD,tradecount
1592438400,2020-06-18 00:00:00,LTC/USD,44.00,44.16,42.86,43.42,43.59,11031.21654852,478975.42253673845,793
1592352000,2020-06-17 00:00:00,LTC/USD,43.85,44.97,43.00,44.04,44.03,17458.67922062,768880.2328761048,1048
1592265600,2020-06-16 00:00:00,LTC/USD,43.80,44.24,43.37,43.84,43.79,12432.65109723,545047.4241025633,924
1592179200,2020-06-15 00:00:00,LTC/USD,44.03,44.09,41.78,43.79,42.99,15529.72461348,680046.6408242892,1329
1592092800,2020-06-14 00:00:00,LTC/USD,45.08,45.08,43.58,44.17,44.32,10409.45993962,459785.8455330154,516
1592006400,2020-06-13 00:00:00,LTC/USD,44.71,45.23,44.31,45.08,44.80,6777.68254635,305537.92918945797,414
1591920000,2020-06-12 00:00:00,LTC/USD,43.16,45.34,42.77,44.68,44.23,14535.70644872,649455.3641288097,792
1591833600,2020-06-11 00:00:00,LTC/USD,46.69,46.96,42.10,43.24,44.52,20848.39101685,901484.4275685941,2062
1591747200,2020-06-10 00:00:00,LTC/USD,45.89,47.18,45.75,46.69,46.38,12452.08833923,581388.0045586487,1340
1591660800,2020-06-09 00:00:00,LTC/USD,46.52,46.84,45.35,45.93,46.02,14385.16698328,660710.7195420504,925
1591574400,2020-06-08 00:00:00,LTC/USD,46.74,46.78,46.00,46.51,46.41,10420.51517016,484658.16056414164,866
1591488000,2020-06-07 00:00:00,LTC/USD,46.75,46.93,45.18,46.56,46.14,8785.44212480,409050.185330688,922
1591401600,2020-06-06 00:00:00,LTC/USD,46.79,47.19,46.16,46.75,46.68,7265.24866839,339650.3752472325,691
1591315200,2020-06-05 00:00:00,LTC/USD,47.45,47.97,46.42,46.96,47.24,15241.69192504,715749.8527998785,1060
1591228800,2020-06-04 00:00:00,LTC/USD,47.13,48.08,46.31,47.46,47.39,18133.41411886,860611.8340810956,1171
1591142400,2020-06-03 00:00:00,LTC/USD,46.04,47.43,45.30,47.11,46.63,15812.25087535,744915.1387377385,1283
1591056000,2020-06-02 00:00:00,LTC/USD,48.31,49.89,44.60,45.93,47.43,40341.50917811,1852885.5165505921,2574
1590969600,2020-06-01 00:00:00,LTC/USD,45.59,48.90,45.34,48.25,47.26,19618.10833990,946573.7274001751,1458
1590883200,2020-05-31 00:00:00,LTC/USD,47.79,47.81,45.11,45.59,46.47,10014.41768690,456557.30234577105,882
1590796800,2020-05-30 00:00:00,LTC/USD,44.45,48.04,44.21,47.74,46.36,21971.29974908,1048909.8500210792,1522
1590710400,2020-05-29 00:00:00,LTC/USD,44.74,45.22,44.20,44.48,44.80,11674.75160675,519292.95146823995,744
